epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
1,0.6852010190486908,0.5904427344708375,0.6226595143477122,0.6810004387889426
2,0.5655250409070183,0.7001923720307796,0.5459760377804438,0.7582272926722247
3,0.5456651501795825,0.7221618155458904,0.5120002975066503,0.7654673102237823
4,0.47041337980943565,0.7764023642243782,0.4759081353743871,0.801009214567793
5,0.46447612586266857,0.8019125683060109,0.43953680495421094,0.8176831943835016
6,0.4503331438583486,0.7947613471618156,0.4297037571668625,0.8060552874067574
7,0.39541282351402673,0.8415021746403479,0.42424137393633526,0.8387450636243967
8,0.40845700988874717,0.8234080517452883,0.3960694223642349,0.831505046072839
9,0.3692997183431597,0.8456005352960857,0.411571629345417,0.8242650285212814
10,0.34820548751774955,0.8513995762239321,0.4637475113073985,0.8038613426941641
11,0.34392302176531625,0.8575471172075387,0.45030449827512103,0.8249232119350592
12,0.333112365401843,0.8571567971450875,0.41720561186472577,0.8293111013602457
13,0.3007633063723059,0.8807014609122337,0.4293312380711238,0.8097849934181658
14,0.27255690799039956,0.8950039032006245,0.4249975085258484,0.822071083808688
15,0.2728924721150714,0.8936517229842758,0.421839435895284,0.7871873628784555
16,0.21517489149289973,0.9079541652726665,0.4260286788145701,0.8053971039929795
17,0.23776990931261988,0.9154538864726218,0.4235788310567538,0.8293111013602457
18,0.19255475179456613,0.9205977472956396,0.43816694617271423,0.8380868802106187
19,0.1871317411389421,0.9195522471283595,0.4630277206500371,0.8097849934181658
