epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
1,0.6436140256769517,0.6086762573882012,0.5378613968690237,0.7806055287406757
2,0.5462121516466141,0.7316270770603324,0.4879426260789235,0.7915752523036419
3,0.47972529074724984,0.7624066019850564,0.4539569814999898,0.8205353225098728
4,0.4669423984254108,0.7783260845321736,0.42664653559525806,0.8685827117156648
5,0.4631779036101173,0.800908888145422,0.4111842215061188,0.8852566915313734
6,0.3917500249603215,0.8141658302665329,0.3748232225577037,0.8758227292672225
7,0.3748485638814814,0.8394111743057879,0.41949930787086487,0.7391399736726634
8,0.35426699983723026,0.8261124121779859,0.35138315459092456,0.880868802106187
9,0.3211067684871309,0.8496570759451321,0.42131928106149036,0.8258007898200965
10,0.3288498915293637,0.8527099364335898,0.3568732887506485,0.8874506362439667
11,0.30088897936922665,0.8878526820564292,0.3274529129266739,0.8576129881526986
12,0.29324108559419126,0.8751672800267648,0.3641781161228816,0.8613426941641071
13,0.24367525625754805,0.8898600423776069,0.3352477749188741,0.880210618692409
14,0.2889809295096818,0.8813984610237537,0.37492266297340393,0.8192189556823168
15,0.2051390482879737,0.9086093453774953,0.36810550342003506,0.8431329530495832
16,0.268076901214526,0.9052079848332776,0.35689661900202435,0.8685827117156648
17,0.2324298989466008,0.9171545667447307,0.3586425880591075,0.8547608600263273
18,0.23058696595184944,0.9069504851120775,0.3662111336986224,0.8503729706011409
19,0.22827023180092082,0.9075638452102153,0.3973439534505208,0.8824045634050022
20,0.1668826170703944,0.9335061893609904,0.39983216176430386,0.8271171566476525
21,0.1770859405891422,0.9359038697446191,0.43645453949769336,0.8358929354980255
22,0.13500476943548112,0.9560053529608565,0.425096499423186,0.8620008775778851
