epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
1,0.647367413429653,0.5893972343035575,0.5807423790295919,0.8097849934181658
2,0.5260456370956758,0.7551717408274785,0.49715007841587067,0.8075910487055726
3,0.4570323092972531,0.7978142076502732,0.47967660427093506,0.8192189556823168
4,0.46479743456139283,0.7804589048734247,0.46009228626887005,0.8242650285212814
5,0.4104554749587003,0.8231013716962194,0.46614956855773926,0.7959631417288284
6,0.38112344548982735,0.8432028549124568,0.47582318385442096,0.7130320315928038
7,0.3501199348007931,0.8476078956172632,0.4582449247439702,0.8192189556823168
8,0.32445843780741973,0.8582022973123675,0.434825266400973,0.8286529179464678
9,0.3137821714010309,0.8687548790007806,0.43451960136493045,0.8330408073716542
10,0.30548398678793626,0.8749024199843871,0.4554195801417033,0.752303641948223
11,0.28260402644381805,0.8933032229285156,0.43326740463574726,0.7915752523036419
12,0.26482504266588125,0.8888981822237092,0.4479072590668996,0.8170250109697236
13,0.30111464288304834,0.8776067804170848,0.49898313482602435,0.8025449758666081
14,0.24061780379099004,0.8984052637448422,0.4622251143058141,0.8075910487055726
15,0.24835148204446716,0.9045528047284488,0.4891279836495717,0.7909170688898639
16,0.1775513608008623,0.927400468384075,0.5108214865128199,0.7610794207985959
17,0.18882480529410875,0.925351288056206,0.5380642414093018,0.7698551996489689
18,0.1611475868643645,0.9349001895840303,0.5214799369374911,0.7893813075910487
19,0.15555931909886353,0.9444490911118546,0.6310993582010269,0.7479157525230364
20,0.17126175911535563,0.940350730456117,0.6444957355658213,0.7698551996489689
21,0.21951200958231792,0.9287526486004238,0.7419277926286062,0.7198332602018429
